ADC,Australian Military Bank Limited,642
AMP,AMP Bank Limited,939
ARA,Arab Bank Australia Limited,917
ANZ,Australia & New Zealand Banking Group Limited,1
T&C,Town & Country Bank,15
APO,Australia Post (Money Orders),90
ASL,Australian Settlements Limited,57
BCC,Bananacoast Community Credit Union Limited,533
BAE,B&E Limited,632
BAL,Bank of America National Association,23
BOC,Bank of China,35
BCA,Bank of China (Australia) Limited,980
COM,"Bank of Communications Co., Ltd Sydney Branch",818
BCY,Delphi Bank,941
BQL,Bank of Queensland Limited,12
HOM,Home Building Society,639
PPB,Pioneer Permanent Building Society,653
INV,BOQ Specialist,951
BOT,"Bank of Tokyo-Mitsubishi UFJ, Ltd (The)",29
BYB,Beyond Bank Australia,325
LBA,Bank of Sydney Ltd,942
BBL,Bendigo and Adelaide Bank Limited,633
ADL,Adelaide Bank,610
BNP,BNP Paribas,22
BPS,BNP Paribas Securities Services,255
CAP,Capricornian Ltd (The),813
CCB,"China Construction Bank Corporation, Sydney Branch",888
CFC,Community First Credit Union Limited,512
CNA,Citibank N.A.,510
CTI,Citigroup Pty Limited,24
CBA,Commonwealth Bank of Australia,"06, 76"
BWA,Bankwest,30
CST,Commonwealth Bank of Australia,40
TBT,Commonwealth Bank of Australia,"42, 52"
CUA,Credit Union Australia Limited,814
CRU,Cuscal Limited,80
DBA,Deutsche Bank Aktiengesellschaft,41
DBL,Defence Bank Limited,833
ECU,ECU Australia,654
ENC,Encompass Credit Union Ltd,823
GTW,Gateway Credit Union Limited,676
GCB,G&C Mutual Bank Limited,659
GBS,Greater Bank Ltd,637
ABS,ABS Building Society,630
HBS,Heritage Bank Limited,"638, 880"
HIC,Heritage Isle Credit Union Ltd,723
HCC,Holiday Coast Credit Union Ltd,721
HSB,"Hongkong & Shanghai Banking Corporation Limited (The), Australian Branch",985
HBA,HSBC Bank Australia Limited,34
HUM,Hume Bank Limited,640
IMB,IMB Ltd,641
AUB,IMB Ltd,647
STH,Shire Local Banking,824
CUS,Indue Ltd,70
IBK,Industrial and Commercial Bank of China Limited,819
ING,ING Bank (Australia) Limited,923
GNI,"ING Bank, NV (Sydney Branch)",936
CMB,"JP Morgan Chase Bank, National Association",21
MBL,Macquarie Bank Limited,18
MMB,Maitland Mutual Building Society Limited,646
MMP,Unity Bank Limited,882
MCU,Bank Australia Limited,313
ICB,"Mega International Commercial Bank Co, Ltd",931
MEB,Members Equity Bank Pty Limited,944
MCB,"Mizuho Bank, Ltd",918
MSL,Tyro Payments Limited,969
NAB,National Australia Bank Limited,8
NEW,Newcastle Permanent Building Society Ltd,650
OCB,Oversea-Chinese Banking Corporation Limited,45
PCU,Police Bank Ltd,815
PNB,Police & Nurses Limited,777
QTM,QT Mutual Bank Ltd,514
PIB,Rabobank Australia Limited,14
RCU,Railways Credit Union Limited t/a myMOVE,724
RAB,Regional Australia Bank,932
RBA,Reserve Bank of Australia,9
ROK,"The Rock",655
SNX,Southern Cross Credit Union Ltd,722
SSB,State Street Bank and Trust Company,913
SMB,Sumitomo Mitsui Banking Corporation,911
SCU,Summerland Credit Union Ltd,728
SEL,Select Credit Union Ltd,611
SKY,Big Sky Building Society Limited,825
STH,Shire local Banking,824
MET,Suncorp-Metway Limited,48
SUN,Suncorp-Metway Limited,66
TBB,"Taiwan Business Bank, Sydney Branch",943
TCU,Teachers Mutual Bank Limited,812
UBS,"UBS AG, Australia Branch",946
UOB,United Overseas Bank Limited,922
UFS,Uniting Financial Services,634
WBC,Westpac Banking Corporation,"03, 73"
STG,St.George Bank,11
BSA,BankSA,10
BOM,Bank of Melbourne,19
BTA,Bankers Trust Australia,26
SGP,St.George Bank,33
ADV,Advance Bank Australia,46
CBL,Challenge Bank,47
BML,Bank of Melbourne,55
WCU,Warwick Credit Union Ltd,817
BAY,Auswide Bank Ltd,656
MPB,Auswide Bank Ltd,645
